School,Address,Latitude,Longitude,4-Year Graduation Rate - All Students,6-Year Graduation Rate - All Students,Average Regents Score - Algebra I,Average Regents Score - Algebra II,Average Regents Score - Chemistry,Average Regents Score - Earth Science,Average Regents Score - English,Average Regents Score - Geometry,Average Regents Score - Global History,Average Regents Score - Languages Other Than English,Average Regents Score - Living Environment,Average Regents Score - Physics,Average Regents Score - US History,Average score of students in the current cohort who took the SAT Math exam,Average score of students in the current cohort who took the SAT Reading and Writing exam,Average Student Attendance,College and Career Preparatory Course Index,Postsecondary Enrollment Rate - 18 Months,Postsecondary Enrollment Rate - 6 Months
Curtis High School,"105 Hamilton Avenue, Staten Island NY 10301",40.645436,-74.082149,0.828,0.8,57.3,57.9,63.3,59.7,76.3,56.5,70.3,77.6,61.4,56,71.4,468,476,0.857,0.649,0.646,0.703
Cyberarts Studio Academy,"237 7th Avenue, Brooklyn NY 11215",40.669255,-73.97858,0.781,0.7,61.5,0,0,55.7,56.3,56.6,59.1,88.9,57.2,0,63.3,420,412,0.786,0.719,0.42,0.535
Cypress Hills Collegiate Preparatory School,"999 Jamaica Avenue, Brooklyn NY 11208",40.693002,-73.869305,0.989,0.935,61.4,47,47.6,51,60.8,44.9,61.2,85.2,56.9,0,62,419,424,0.851,0.489,0.452,0.619
Democracy Preparatory Charter School,"2230 5 Avenue, Manhattan, NY 10037",40.813144,-73.93736,0.783,0.963,55.8,51.6,51.9,0,73.5,50.9,71.9,62.7,65.3,27.5,62.8,0,0,0.864,0.76,0.738,0.725
Democracy Preparatory Endurance Charter School,"1000 Westchester Avenue, Bronx, NY 10459",40.823875,-73.893451,0.778,0.859,61.2,63.3,58.7,0,73.6,57.5,69.8,68.1,64.2,51.9,74.6,0,0,0.889,0.855,0.667,0.645
Democracy Preparatory Harlem Charter School,"207 West 133 Street, Manhattan, NY 10030",40.814219,-73.945131,0.779,0.951,58.7,67.7,57.9,0,65.8,62.9,63.6,71.8,64.3,57,77.5,0,0,0.863,0.658,0.716,0.633
DeWitt Clinton High School,"100 West Mosholu Parkway South, Bronx NY 10468",40.879958,-73.889011,0.966,0.922,66.5,64.3,55,62.8,69.7,52.9,67.4,87,64.2,42.7,68.3,412,430,0.897,0.937,0.675,0.616
Digital Arts and Cinema Technology High School,"284 Baltic Street, Brooklyn NY 11201",40.685006,-73.993293,0.988,0.972,73.9,56.5,54.5,72.9,79.9,59.4,77.7,0,71.4,0,75.5,443,460,0.884,0.58,0.708,0.843
Discovery High School,"2780 Reservoir Avenue, Bronx NY 10468",40.869061,-73.897066,0.963,0.9,71.2,63.6,0,68.7,71.9,66.6,69.5,85.9,73.1,0,69.7,413,405,0.893,0.944,0.573,0.624
Dr. Richard Izquierdo Health and Science Charter School,"800 Home St, Bronx, NY 10456",40.827847,-73.900548,0.936,0.917,59.9,62.1,54.5,61.6,67.7,58,71.1,80.3,67.8,0,75.4,469,468,0.849,0.725,0.615,0.7
Dr. Susan S. McKinney Secondary School of the Arts,"101 Park Avenue, Brooklyn NY 11205",40.697177,-73.976104,0.769,0.926,53.9,42.7,52.2,44.4,65.6,44.4,57.4,68.8,57.8,0,62.4,385,395,0.753,0.721,0.593,0.4
DREAM Charter School,"1991 Second Ave., New York, NY 10029",40.789083,-73.943611,0.958,0.99,70.5,0,0,55.6,63.5,0,70.9,0,62.7,0,0,0,0,0.853,0.01,0.784,0.768
DreamYard Preparatory School,"240 E 172nd St, Bronx, NY 10457",40.840434,-73.910954,0.914,0.92,55.4,54,0,54.3,69.2,46.5,60.4,91,56.3,0,67.3,426,428,0.828,0.557,0.56,0.509
Eagle Academy for Young Men,"4143 Third Avenue, Bronx NY 10457",40.845366,-73.897479,0.926,0.873,53.8,0,0,65.1,68.1,0,63.2,0,61.3,0,68,401,427,0.911,0.649,0.493,0.462
Eagle Academy for Young Men II,"1137 Herkimer Street, Brooklyn NY 11233",40.678124,-73.915106,0.953,0.975,69.8,57.1,69.6,47.2,66.5,57.5,63.3,66.8,57.8,0,72.6,392,417,0.911,0.382,0.575,0.557
Eagle Academy for Young Men III,"171-10 Linden Boulevard, Jamaica NY 11434",40.69172,-73.778924,0.974,0.942,54.6,47.6,48.3,0,56.5,46.2,63.3,64.9,50.4,0,65.2,421,439,0.942,0.859,0.623,0.564
Eagle Academy for Young Men of Harlem,"6 Edgecombe Avenue, Manhattan NY 10030",40.817228,-73.947151,0.885,0.787,56.5,0,0,37.5,66.3,45.3,62.3,0,48.2,0,0,398,424,0.782,0.788,0.511,0.471
East Bronx Academy for the Future,"1716 Southern Boulevard, Bronx NY 10460",40.836821,-73.887688,0.905,0.822,61.7,49,43.1,44.5,62.9,40.9,65.5,64.3,57.4,0,57.9,409,427,0.847,0.774,0.467,0.425
East Harlem Scholars Academy Charter School,"2050 Second Avenue, Manhattan, NY 10029",40.790277,-73.94264,0.753,0,56.5,41.6,46.8,58.8,59.4,50.9,64.6,0,60.6,42.1,64.7,0,0,0.82,0.341,0,0
East New York Family Academy,"145 Pennsylvania Avenue, Brooklyn NY 11207",40.673766,-73.895976,0.95,1,64.1,0,58.3,0,71.6,47.2,62,0,56.7,0,64.2,429,434,0.866,0.532,0.591,0.648
East Side Community School,"420 East 12th Street, Manhattan NY 10009",40.729152,-73.982472,0.978,0.975,0,0,0,0,80.8,0,0,0,0,0,0,504,524,0.938,1,0.924,0.889
East Williamsburg Scholars Academy,"850 Grand Street, Brooklyn NY 11211",40.711134,-73.938921,0.855,0.78,56.5,69.3,0,61.7,59.9,57.8,63.4,80.7,54.9,0,58.9,387,416,0.846,0.413,0.4,0.309
East-West School of International Studies,"46-21 Colden Street, Flushing NY 11355",40.74943,-73.821402,0.967,0.988,69.7,65.2,72,83.9,72.6,65.6,78.8,83.8,73.1,70.7,89.3,564,542,0.926,0.956,0.953,0.893
EBC High School for Public Service - Bushwick,"1155 Dekalb Avenue, Brooklyn NY 11221",40.694723,-73.929315,0.852,0.931,56.9,60.3,50.5,42.4,57.8,56.1,57,78,54,0,60.8,380,389,0.793,0.482,0.474,0.417
Edmund W. Gordon Brooklyn Laboratory Charter School,"77 Sands Street, Brooklyn, NY 11226",40.70021,-73.987551,0.81,0,58,0,0,58.5,62.8,46.6,55.6,0,52.7,0,0,0,0,0.918,0,0,0
Edward R. Murrow High School,"1600 Avenue L, Brooklyn NY 11230",40.619671,-73.959141,0.827,0.887,61.9,58.8,64.5,62.6,77.3,62.3,74.1,87.2,67,68.3,76.1,511,505,0.889,0.796,0.773,0.731
El Puente Academy for Peace and Justice,"250 Hooper Street, Brooklyn NY 11211",40.70554,-73.955741,0.739,0.83,0,0,0,0,74,0,0,0,0,0,0,401,408,0.737,0.696,0.404,0.333
Eleanor Roosevelt High School,"411 East 76th Street, Manhattan NY 10021",40.770288,-73.953276,0.993,1,78.9,77.7,69.4,0,90.7,77.5,82.4,86.7,82.1,75.6,85.4,672,665,0.943,1,0.91,0.955
"EMBER Charter School for Mindful Education, Innovation and Transformation","500 Macon St, Brooklyn, NY 11233",40.683359,-73.929869,0.8,0,53.9,43.7,43.8,0,74.3,45.5,74.5,0,51.1,0,0,0,0,0.798,0.45,0,0
Energy Tech High School,"36-41 28th Street, Astoria NY 11106",40.756471,-73.932628,0.971,0.973,64.4,53.9,60.3,57.7,72.3,63.4,72.7,90.7,67.4,51.1,70.8,482,481,0.898,0.828,0.882,0.782
Epic High School - North,"94-25 117th Street, South Richmond Hill NY 11419",40.693013,-73.829409,0.956,0.928,65.5,47.6,53,54.3,71,47.5,73.4,86.2,59.6,0,63.3,424,437,0.816,0.965,0.649,0.542
Epic High School - South,"121-10 Rockaway Boulevard, South Ozone Park NY 11420",40.675021,-73.81673,0.813,0.927,55.3,46.8,47.6,0,64.6,48,60.1,0,54.7,0,61.4,405,436,0.845,0.738,0.594,0.593
Esperanza Preparatory Academy,"240 East 109th Street, Manhattan NY 10029",40.792556,-73.942285,0.94,0.906,51.9,42.2,0,60.6,68.3,42.4,66.7,85.4,52.6,0,0,377,381,0.901,0.418,0.506,0.5
Essex Street Academy,"350 Grand Street, Manhattan NY 10002",40.717329,-73.989329,0.96,0.979,0,0,0,0,79.6,0,0,0,0,0,0,440,481,0.84,0.933,0.863,0.775
Excellence Girls Charter School,"794 Monroe St, Brooklyn, NY 11221",40.688501,-73.924454,0.91,0.958,49.9,43.9,0,30.5,53.1,45.8,65.7,0,48.9,0,64.5,0,0,0.842,0.779,0.792,0.646
Excelsior Preparatory High School,"143-10 Springfield Boulevard, Springfield Gardens NY 11413",40.66903,-73.757744,0.907,0.866,74.3,77,63.3,0,65.2,73.4,74,68.1,69.5,51,62.3,379,413,0.911,0.731,0.505,0.43
Eximius College Preparatory Academy: A College Board School,"1363 Fulton Avenue, Bronx NY 10456",40.833884,-73.902794,0.937,0.933,68.2,50.2,0,57.9,76.1,51.9,66.7,83,60.6,0,70.3,445,460,0.89,0.462,0.686,0.696
Explorations Academy H.S.,"1619 Boston Road, Bronx NY 10460",40.836245,-73.890591,0.753,0.825,53.3,46.3,39,55.9,63.3,42.3,66.1,86.3,56.3,0,57.5,413,423,0.891,0.329,0.509,0.45
"Facing History School, The","525 West 50th Street, Manhattan NY 10019",40.765474,-73.9927,0.916,0.821,0,0,0,0,65.9,0,0,0,0,0,0,405,424,0.78,0.584,0.621,0.671
Fannie Lou Hamer Freedom High School,"1021 Jennings Street, Bronx NY 10460",40.831212,-73.885804,0.827,0.858,0,0,0,0,67.6,0,0,0,0,0,0,383,411,0.759,0.356,0.425,0.336
FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,"400 Pennsylvania Avenue, Brooklyn NY 11207",40.666868,-73.895122,0.921,0.741,58.5,55,0,48.3,52.7,42.5,54.3,0,53.9,0,54.4,356,388,0.878,0.262,0.185,0.267
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,"100 Amsterdam Avenue, Manhattan NY 10023",40.774202,-73.985976,0.987,0.996,78.8,75.1,71.2,0,85.7,76,79.6,89.1,82,65,82.6,586,602,0.923,0.991,0.875,0.809
Flushing High School,"35-01 Union Street, Flushing NY 11354",40.764892,-73.826811,0.86,0.84,60.5,51.5,50.2,59,67.1,53.2,64.8,77.2,54.9,0,68.5,431,428,0.837,0.752,0.596,0.616
Flushing International High School,"144-80 Barclay Avenue, Flushing NY 11355",40.759963,-73.818399,0.888,0.902,70.6,0,0,0,51.6,0,0,0,0,0,0,418,377,0.88,0.607,0.539,0.523
Food and Finance High School,"525 West 50th Street, Manhattan NY 10019",40.765474,-73.9927,0.898,0.864,56.6,47.9,51.8,59,71.8,45.8,63.9,0,64.7,0,63.8,434,439,0.867,0.841,0.617,0.67
Fordham High School for the Arts,"500 East Fordham Road, Bronx NY 10458",40.859466,-73.888625,1,0.952,65.9,58.4,46.6,69.2,76,50.1,70.7,0,66.6,0,66.8,451,464,0.908,1,0.845,0.833
Fordham Leadership Academy,"500 East Fordham Road, Bronx NY 10458",40.859466,-73.888625,1,1,58.6,42.3,40.4,54,67.6,46.2,63.2,87.9,59.1,29.7,65.8,408,411,0.898,0.476,0.738,0.511
Forest Hills High School,"67-01 110th Street, Forest Hills NY 11375",40.730017,-73.843972,0.933,0.937,65.2,62.9,67.6,60.2,78.9,62.7,71.9,84.1,69.2,58.8,72.3,501,498,0.924,0.7,0.779,0.743
Fort Hamilton High School,"8301 Shore Road, Brooklyn NY 11209",40.626827,-74.038103,0.894,0.888,68,60.6,75.9,68.3,79,63.5,74.9,80.9,72,72.8,72.7,510,497,0.882,0.716,0.713,0.67
Francis Lewis High School,"58-20 Utopia Parkway, Fresh Meadows NY 11365",40.740875,-73.795049,0.929,0.962,76.3,82.3,78.8,68.7,77.7,72.9,78.1,84.2,75.7,74.1,76,570,531,0.923,0.763,0.821,0.766
Frank McCourt High School,"145 West 84th Street, Manhattan NY 10024",40.786134,-73.974483,0.957,0.99,66.8,0,0,0,74.4,0,70.9,0,70.2,0,68.8,478,524,0.898,0.967,0.874,0.753
Frank Sinatra School of the Arts High School,"35-12 35th Avenue, Astoria NY 11106",40.756099,-73.925182,0.99,0.986,69.9,65.9,66.3,0,89.2,67.4,77.1,87.6,77,57.5,82.1,530,572,0.908,0.988,0.866,0.841
Franklin Delano Roosevelt High School,"5800 20th Avenue, Brooklyn NY 11204",40.621299,-73.982583,0.768,0.835,64.9,68.3,65.5,56.5,65.4,64,68.1,81.1,68.5,65.1,70.7,471,454,0.861,0.605,0.615,0.554
Frederick Douglass Academy,"2581 7th Avenue, Manhattan NY 10039",40.823988,-73.935746,0.765,0.898,55.3,59.4,0,59.8,66.3,52.6,60,76.2,53.7,0,65.3,426,444,0.838,0.679,0.668,0.667
Frederick Douglass Academy II Secondary School,"215 West 114th Street, Manhattan NY 10026",40.80261,-73.954152,0.881,0.921,55.7,43.2,36,0,52.4,45,64.7,0,52.6,29.3,57.3,391,411,0.873,0.799,0.508,0.536
Frederick Douglass Academy III Secondary School,"3630 Third Avenue, Bronx NY 10456",40.833493,-73.903951,0.889,0.784,58.9,0,0,0,70.7,48.2,61.8,0,54.7,0,65.4,379,399,0.81,0.306,0.402,0.353
Frederick Douglass Academy VI High School,"8-21 Bay 25th Street, Far Rockaway NY 11691",40.601537,-73.763995,0.75,0.547,59.7,45.2,0,44.9,58.8,48.8,56.7,69.4,52.2,0,60.6,383,390,0.83,0.331,0.105,0.247
Frederick Douglass Academy VII High School,"226 Bristol Street, Brooklyn NY 11212",40.665568,-73.912102,0.935,1,55.5,0,53.5,0,71.5,0,60.5,0,55.3,0,62.5,406,414,0.913,0.661,0.615,0.467
Gaynor McCown Expeditionary Learning School,"100 Essex Drive, Staten Island NY 10314",40.581958,-74.159343,0.974,0.962,64.9,65.2,59.1,0,85.3,52.5,73.5,0,74.4,0,72,481,496,0.882,0.649,0.781,0.75
George Washington Carver High School for the Sciences,"143-10 Springfield Boulevard, Springfield Gardens NY 11413",40.66903,-73.757744,0.845,0.851,59.8,55.4,56.6,59.1,64.9,47.5,63.9,74.9,56,0,65.3,408,413,0.886,0.625,0.554,0.489
George Westinghouse Career and Technical Education High School,"105 Tech Place, Brooklyn NY 11201",40.695444,-73.986105,0.899,0.944,57.9,47.7,48.2,0,65.8,45.7,59.5,0,58.4,0,61.8,405,429,0.861,0.771,0.561,0.539
Gotham Collaborative High School,"1980 Lafayette Avenue, Bronx NY 10473",40.821218,-73.85593,0.779,0.738,53.3,41.4,40.5,45,65.8,43.5,63.5,0,57.5,0,60.6,387,407,0.862,0.337,0.324,0.281
Gotham Professional Arts Academy,"561 Grand Avenue, Brooklyn NY 11238",40.678591,-73.961636,0.75,0.882,0,0,0,0,61,0,0,0,0,0,0,0,0,0.749,0.391,0.5,0.529
Gramercy Arts High School,"40 Irving Place, Manhattan NY 10003",40.735361,-73.987064,0.98,0.953,66.9,60.7,55.3,0,73.9,55.5,69.6,0,68.8,0,67.5,438,458,0.851,0.99,0.709,0.646
Great Oaks Charter School,"240 Bleecker St, New York, NY 10014",40.730649,-74.002659,0,0,66.5,60.8,0,56,0,0,67.5,0,63.3,0,62,0,0,0.903,0,0,0
Gregorio Luperon High School for Science and Mathematics,"501 West 165th Street, Manhattan NY 10032",40.8381,-73.9383,0.986,0.974,63.2,47.5,0,55.2,58.3,55.4,69.4,88.5,62.9,0,66.7,381,379,0.899,0.873,0.565,0.426
Grover Cleveland High School,"21-27 Himrod Street, Ridgewood NY 11385",40.711881,-73.909202,0.848,0.833,62.2,69.2,58.5,56.1,73.5,58.5,68.5,89.2,57.6,0,68.4,436,438,0.831,0.735,0.539,0.458
"H.E.R.O. High (Health, Education, and Research Occupations High School)","455 Southern Boulevard, Bronx NY 10455",40.810671,-73.907528,0.814,0.923,59.2,0,0,0,71.1,0,66.9,0,60.9,0,63.9,0,0,0.787,0.744,0.714,0.555
Harlem Children's Zone Promise Academy Charter School,"245 West 129th St., New York, NY 10027",40.812377,-73.948482,1,0.983,69.6,59.1,59.6,73.6,70.8,61.6,68.7,0,68,0,59.9,440,465,0.932,0.363,0.763,0.596
Harlem Children's Zone Promise Academy II Charter School,"35 East 125th Street, Manhattan, NY 10035",40.805863,-73.940767,1,1,61,50.6,50.9,47.6,73.1,47.2,61.2,0,60.4,0,57.6,466,448,0.929,0.5,0.82,0.837
Harlem Prep Charter School,"240 East 123 Street, Manhattan, NY 10035",40.801581,-73.934893,0.814,0.829,63,59.1,58.6,0,62,57.2,71,69.1,67.4,43.2,72.3,0,0,0.842,0.883,0.579,0.582
Harlem Village Academy East Charter School,"2351 First Avenue, Manhattan, NY 10035",40.79913,-73.93316,0.846,1,63.4,0,0,0,64.1,0,67.5,0,62,0,0,0,0,0.909,0.576,0.545,0.579
Harlem Village Academy West Charter School,"74 West 124 Street, Manhattan, NY 10027",40.806906,-73.945507,0.938,0.971,68.1,0,0,0,66.4,0,69.2,0,63.4,0,0,0,0,0.938,0.58,0.829,0.763
Harry S Truman High School,"750 Baychester Avenue, Bronx NY 10475",40.874035,-73.831669,0.82,0.837,62.3,65.5,65.7,70.5,70.7,64.7,62.5,77.1,58.9,0,66,462,469,0.897,0.706,0.501,0.475
Harvest Collegiate High School,"34 West 14th Street, Manhattan NY 10011",40.736416,-73.995731,0.857,0.935,0,0,0,0,72.6,0,0,0,0,0,0,437,464,0.805,0.661,0.769,0.72
Health Opportunities High School,"350 Gerard Avenue, Bronx NY 10451",40.815712,-73.92996,0.742,0.786,59.6,0,48.4,56.6,62.6,50,69.1,0,65.1,0,59.7,402,398,0.823,0.253,0.759,0.519
"Health, Arts, Robotics, and Technology High School","207-01 116th Avenue, Queens, NY 11411",40.697841,-73.745608,0.92,0.912,67.9,65.8,51.5,69.5,77.1,69.9,69.7,84,62,29.4,60.1,398,407,0.849,0.943,0.604,0.771
Herbert H. Lehman High School,"3000 East Tremont Avenue, Bronx NY 10461",40.839775,-73.839583,0.805,0.832,61.9,74.6,64.6,69.3,65.5,65.9,61.4,88.8,65,0,0,420,430,0.877,0.384,0.503,0.692
"Heritage School, The","1680 Lexington Avenue, Manhattan NY 10029",40.791966,-73.946879,0.831,0.75,59.3,0,0,53.5,70.7,42,60.3,0,55,34.5,62.1,403,424,0.862,0.401,0.529,0.587
High School for Arts and Business,"105-25 Horace Harding Expressway N, Corona NY 11368",40.737673,-73.853412,0.973,0.971,66.3,58.3,50.9,63.8,74.6,54.9,78.5,84.3,64.9,40.2,78.1,455,459,0.901,0.906,0.786,0.804
High School for Civil Rights,"400 Pennsylvania Avenue, Brooklyn NY 11207",40.666868,-73.895122,0.793,0.714,59.1,0,0,50.3,61.4,0,59.2,0,0,0,57.2,341,384,0.787,0.414,0.317,0.449
High School for Community Leadership,"167-01 Gothic Drive, Jamaica NY 11432",40.714551,-73.798658,0.938,0.96,74.9,71.9,67.7,0,77.9,70.1,77.9,83.9,74.9,66.3,74.3,466,474,0.845,0.919,0.833,0.669
"High School for Construction Trades, Engineering and Architecture","94-06 104th Street, Ozone Park NY 11416",40.689177,-73.841475,0.993,0.992,75.4,68.5,57,73.5,80.6,64.8,77.9,0,72.4,47.5,74.2,503,494,0.932,0.996,0.868,0.805
High School for Contemporary Arts,"800 East Gun Hill Road, Bronx NY 10467",40.875172,-73.861649,0.894,0.827,50.1,34.1,38.9,48.3,58,42.9,56.8,0,51.1,0,48.9,370,374,0.842,0.288,0.355,0.338
High School for Dual Language and Asian Studies,"350 Grand Street, Manhattan NY 10002",40.717329,-73.989329,0.988,0.99,91.5,76.4,82,84.8,75.9,80.6,84.5,89.1,83.6,84,78.4,640,538,0.977,1,0.929,0.939
High School for Energy and Technology,"2474 Crotona Avenue, Bronx NY 10458",40.855392,-73.882487,0.909,0.938,56.9,49.7,0,57.6,66.4,56.7,64,84.3,62.9,0,66.8,401,409,0.809,0.352,0.37,0.433
High School for Environmental Studies,"444 West 56th Street, Manhattan NY 10019",40.767848,-73.98861,0.887,0.944,62.8,61.2,60.6,72.7,78.6,56.7,72.7,79.8,67.5,0,69.2,463,477,0.847,0.713,0.768,0.672
High School for Health Careers and Sciences,"549 Audubon Avenue, Manhattan NY 10040",40.856532,-73.92606,0.795,0.793,53.5,0,0,57.4,64.8,51.1,61.1,83.4,55,0,62.4,378,393,0.858,0.288,0.55,0.438
High School for Health Professions and Human Services,"345 East 15th Street, Manhattan NY 10003",40.732665,-73.98259,0.948,0.971,61.2,54.8,60.4,63.3,81.3,58.7,70.5,83.5,68,57.2,72.7,483,483,0.91,0.891,0.833,0.851
High School for Innovation in Advertising and Media,"1600 Rockaway Parkway, Brooklyn NY 11236",40.640543,-73.898601,0.907,0.855,56.5,43.1,0,66.3,59.2,48.3,59.4,0,49.1,0,53.8,402,398,0.839,0.269,0.527,0.574
High School for Law and Public Service,"549 Audubon Avenue, Manhattan NY 10040",40.856532,-73.92606,0.822,0.673,56.9,42.1,0,66.4,57,55,66.5,85.3,65.1,0,61.2,387,419,0.804,0.384,0.389,0.436
High School for Law Enforcement and Public Safety,"116-25 Guy R Brewer Boulevard, Jamaica NY 11434",40.685838,-73.783438,0.865,0.89,54.6,46.3,0,58.6,64,48.6,61.5,0,52.1,0,61.7,406,410,0.822,0.684,0.587,0.457
"High School for Law, Advocacy and Community Justice","122 Amsterdam Avenue, Manhattan NY 10023",40.774891,-73.985608,0.865,0.866,59,49.3,0,48.2,78.5,59.9,67.4,0,55.3,0,65.6,410,437,0.793,0.837,0.622,0.64
"High School for Mathematics, Science and Engineering at City College","240 Convent Avenue, Manhattan NY 10031",40.820208,-73.950354,1,1,91.4,88,87.9,0,92.7,87.2,87.6,87.9,91.3,86.1,86,724,697,0.955,1,0.914,0.825
High School for Media and Communications,"549 Audubon Avenue, Manhattan NY 10040",40.856532,-73.92606,0.905,0.899,58.7,59.2,0,63.5,62.5,57,62.5,86.7,57.2,0,57.4,381,409,0.827,0.47,0.393,0.389
High School for Medical Professions,"1600 Rockaway Parkway, Brooklyn NY 11236",40.640543,-73.898601,0.85,0.957,65.2,0,46.7,56.9,65,46.6,64.8,0,59.2,0,65.9,421,435,0.855,0.349,0.692,0.488
High School for Public Service: Heroes of Tomorrow,"600 Kingston Avenue, Brooklyn NY 11203",40.658671,-73.943839,0.934,0.963,59.5,41,44.1,52.8,64.2,48.9,64.1,84.5,59.8,0,67.5,412,443,0.869,0.408,0.741,0.754
High School for Service & Learning at Erasmus,"911 Flatbush Avenue, Brooklyn NY 11226",40.649602,-73.957173,0.918,0.841,58.8,50,0,56.9,60.5,44.2,64.2,66.9,57.5,0,63.2,391,406,0.859,0.852,0.507,0.516
High School for Teaching and the Professions,"2780 Reservoir Avenue, Bronx NY 10468",40.869061,-73.897066,0.958,0.845,57.9,49,44.2,49.8,62.1,0,59.5,81.8,57.9,0,0,415,451,0.908,0.542,0.476,0.552
High School for Violin and Dance,"1110 Boston Road, Bronx NY 10456",40.827455,-73.90392,0.738,0.769,62.5,0,0,0,63.3,47.1,62.7,0,62.4,0,66.7,382,404,0.884,0.583,0.369,0.377
High School for Youth and Community Development at Erasmus,"911 Flatbush Avenue, Brooklyn NY 11226",40.649602,-73.957173,0.907,0.878,58.9,52.9,0,0,63.1,50.1,64.5,0,55.9,0,62.1,394,415,0.954,0.297,0.489,0.477
High School of American Studies at Lehman College,"2925 Goulden Avenue, Bronx NY 10468",40.874725,-73.895543,0.989,0.989,87.2,81.7,82.6,0,92.7,83.3,93.4,93.6,89.3,80.9,89.9,702,717,0.958,1,0.989,1
High School of Applied Communication,"30-20 Thomson Avenue, Long Island City NY 11101",40.744175,-73.937004,0.833,0.988,64,45.9,37.3,59.5,64.9,52.1,63.7,82.9,60.7,0,69,437,446,0.845,0.911,0.831,0.714
High School of Arts and Technology,"122 Amsterdam Avenue, Manhattan NY 10023",40.774891,-73.985608,0.844,0.869,55,42.3,43.2,42.8,66.4,48.2,59.4,0,53.5,0,63.3,424,436,0.807,0.917,0.505,0.553
High School of Computers and Technology,"800 East Gun Hill Road, Bronx NY 10467",40.875172,-73.861649,0.855,0.846,62.7,68.8,0,66.8,67.6,64,64.5,0,61.7,45.3,72.9,426,462,0.873,0.56,0.547,0.592
High School of Economics and Finance,"100 Trinity Place, Manhattan NY 10006",40.70927,-74.012328,0.91,0.926,63.8,59.5,56.7,63.9,79.4,57.8,73.3,92.8,68.3,0,73.4,477,472,0.891,0.617,0.783,0.854
High School of Hospitality Management,"525 West 50th Street, Manhattan NY 10019",40.765474,-73.9927,0.754,0.885,57,40.3,0,67.5,79.3,50.6,61.9,0,70,0,59.5,410,402,0.725,0.228,0.54,0.519
High School of Language and Innovation,"925 Astor Avenue, Bronx NY 10469",40.860443,-73.860729,0.876,0.955,66.7,52.4,0,60.3,61.1,53.7,65.9,86.6,52.9,0,60.3,393,399,0.902,0.633,0.518,0.542
High School of Sports Management,"2630 Benson Avenue, Brooklyn NY 11214",40.593028,-73.986313,0.81,0.787,58.1,57.7,60.6,66.7,45.3,52.9,61.6,0,57.3,0,58.3,388,391,0.809,0.571,0.533,0.259
High School of Telecommunication Arts and Technology,"350 67th Street, Brooklyn NY 11220",40.636721,-74.023419,0.93,0.967,59.3,57.3,52.1,66.1,77,63,69.1,78.3,62.6,48.1,71.9,494,483,0.943,0.978,0.832,0.794
High School of World Cultures,"1300 Boynton Avenue, Bronx NY 10472",40.832508,-73.878191,0.879,0.931,63.8,46.9,0,62.4,58.2,0,64.9,88.8,65.1,0,73.4,0,0,0.897,0.544,0.466,0.296
Hillcrest High School,"160-05 Highland Avenue, Jamaica NY 11432",40.709461,-73.803001,0.842,0.818,59.7,58.6,63.6,51.2,71.5,48.2,68,81.1,60.2,44,67.6,435,447,0.882,0.794,0.642,0.622
Hillside Arts & Letters Academy,"167-01 Gothic Drive, Jamaica NY 11432",40.714551,-73.798658,0.925,0.971,65.8,58.2,55.2,67.1,69.7,47.4,72.5,85.8,73,0,65.7,409,448,0.868,0.943,0.714,0.605
Hostos-Lincoln Academy of Science,"600 Saint Ann's Avenue, Bronx NY 10455",40.814857,-73.912038,0.949,0.918,67.7,0,60.7,73.5,78.9,65.5,70.6,0,76.6,0,79.5,483,488,0.88,0.722,0.622,0.767
Hudson High School of Learning Technologies,"351 West 18th Street, Manhattan NY 10011",40.743407,-74.00254,0.922,0.881,60.6,47.6,0,55.8,70.1,52.9,63.9,78,66.4,0,68.4,427,440,0.817,0.643,0.633,0.688
Humanities Preparatory Academy,"351 West 18th Street, Manhattan NY 10011",40.743407,-74.00254,0.965,0.942,0,0,0,0,79.9,0,0,0,0,0,0,456,475,0.863,0.404,0.768,0.729
Information Technology High School,"21-16 44th Road, Long Island City NY 11101",40.748502,-73.946488,0.917,0.93,57.1,46.2,60.6,0,75.6,50.7,69.6,87,65.3,43.9,72.5,434,442,0.913,0.696,0.652,0.559
Innovation Charter High School,"410 East 100 Street, Manhattan, NY 10029",40.785513,-73.942161,0.767,0.861,60.8,46.9,0,59.2,65.9,43.1,62.4,0,59.3,0,66.5,393,420,0.753,0.255,0.396,0.388
Institute for Collaborative Education,"345 East 15th Street, Manhattan NY 10003",40.732665,-73.98259,0.955,1,0,0,0,0,83.4,0,0,0,0,0,0,542,593,0.912,0.439,0.871,0.766
Institute for Health Professions at Cambria Heights,"207- 01 116th Avenue, Cambria Heights NY 11411",40.698786,-73.74633,0.958,0.882,0,0,0,0,68.1,0,0,0,0,0,0,421,444,0.861,0.891,0.718,0.524
In-Tech Academy (M.S. / High School 368),"2975 Tibbett Avenue, Bronx NY 10463",40.877935,-73.913694,0.908,0.861,57.1,54,57.3,54.8,69.4,51.9,65.1,77.2,67.9,0,64.5,424,451,0.906,0.585,0.623,0.634
International Community High School,"345 Brook Avenue, Bronx NY 10454",40.810314,-73.918774,0.815,0.88,0,0,0,0,58.8,0,0,0,0,0,0,379,384,0.855,0.667,0.5,0.571
